time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
60.0,200.0,300.0,250.0,12,114144533.08042914,1.0512987066620611e-07
60.0,300.0,500.0,399.99999999999994,62,517315590.2911194,1.1984947131616407e-07
60.0,500.0,750.0,625.0,136,1447750614.5292964,9.393883078697041e-08
60.0,750.0,1000.0,875.0,169,2704387675.965212,6.249104057896688e-08
70.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
70.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
70.0,100.00000000000001,150.0,125.0,4,19373154.697137043,2.0647127752462113e-07
70.0,150.0,200.0,175.0,4,31939525.311496243,1.2523667653132742e-07
70.0,200.0,300.0,250.0,10,114144533.08042914,8.760822555517175e-08
70.0,300.0,500.0,399.99999999999994,72,517315590.2911194,1.3918003120586796e-07
70.0,500.0,750.0,625.0,139,1447750614.5292964,9.601101087785946e-08
70.0,750.0,1000.0,875.0,156,2704387675.965212,5.768403745750789e-08
80.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
80.0,50.0,100.00000000000001,75.0,3,9948376.73636768,3.015567342793806e-07
80.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
80.0,150.0,200.0,175.0,4,31939525.311496243,1.2523667653132742e-07
80.0,200.0,300.0,250.0,18,114144533.08042914,1.5769480599930916e-07
80.0,300.0,500.0,399.99999999999994,77,517315590.2911194,1.488453111507199e-07
80.0,500.0,750.0,625.0,149,1447750614.5292964,1.0291827784748964e-07
80.0,750.0,1000.0,875.0,143,2704387675.965212,5.28770343360489e-08
90.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
90.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
90.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
90.0,150.0,200.0,175.0,6,31939525.311496243,1.8785501479699115e-07
90.0,200.0,300.0,250.0,18,114144533.08042914,1.5769480599930916e-07
90.0,300.0,500.0,399.99999999999994,78,517315590.2911194,1.5077836713969027e-07
90.0,500.0,750.0,625.0,149,1447750614.5292964,1.0291827784748964e-07
90.0,750.0,1000.0,875.0,160,2704387675.965212,5.9163115341033734e-08
100.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
100.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
100.0,100.00000000000001,150.0,125.0,6,19373154.697137043,3.097069162869317e-07
100.0,150.0,200.0,175.0,7,31939525.311496243,2.19164183929823e-07
100.0,200.0,300.0,250.0,18,114144533.08042914,1.5769480599930916e-07
100.0,300.0,500.0,399.99999999999994,76,517315590.2911194,1.469122551617495e-07
100.0,500.0,750.0,625.0,165,1447750614.5292964,1.1396990499889792e-07
100.0,750.0,1000.0,875.0,143,2704387675.965212,5.28770343360489e-08
110.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
110.0,50.0,100.00000000000001,75.0,4,9948376.73636768,4.020756457058408e-07
110.0,100.00000000000001,150.0,125.0,5,19373154.697137043,2.5808909690577644e-07
110.0,150.0,200.0,175.0,5,31939525.311496243,1.565458456641593e-07
