time_s,z_low_um,z_high_um,z_mid_um,count
0.0,0.0,100.0,50.0,24
0.0,100.0,200.0,150.0,31
0.0,200.0,300.0,250.0,22
0.0,300.0,400.0,350.0,24
0.0,400.0,500.0,450.0,22
0.0,500.0,600.0,550.0,16
0.0,600.0,700.0,650.0,24
0.0,700.0,800.0,750.0,26
0.0,800.0,900.0,850.0,28
0.0,900.0,1000.0,950.0,31
0.0,1000.0,1100.0,1050.0,30
0.0,1100.0,1200.0,1150.0,34
0.0,1200.0,1300.0,1250.0,24
0.0,1300.0,1400.0,1350.0,26
0.0,1400.0,1500.0,1450.0,20
0.0,1500.0,1600.0,1550.0,24
0.0,1600.0,1700.0,1650.0,29
0.0,1700.0,1800.0,1750.0,21
0.0,1800.0,1900.0,1850.0,19
0.0,1900.0,2000.0,1950.0,25
10.0,0.0,100.0,50.0,27
10.0,100.0,200.0,150.0,22
10.0,200.0,300.0,250.0,29
10.0,300.0,400.0,350.0,24
10.0,400.0,500.0,450.0,22
10.0,500.0,600.0,550.0,20
10.0,600.0,700.0,650.0,16
10.0,700.0,800.0,750.0,37
10.0,800.0,900.0,850.0,28
10.0,900.0,1000.0,950.0,31
10.0,1000.0,1100.0,1050.0,31
10.0,1100.0,1200.0,1150.0,25
10.0,1200.0,1300.0,1250.0,23
10.0,1300.0,1400.0,1350.0,28
10.0,1400.0,1500.0,1450.0,21
10.0,1500.0,1600.0,1550.0,24
10.0,1600.0,1700.0,1650.0,29
10.0,1700.0,1800.0,1750.0,25
10.0,1800.0,1900.0,1850.0,18
10.0,1900.0,2000.0,1950.0,20
20.0,0.0,100.0,50.0,30
20.0,100.0,200.0,150.0,19
20.0,200.0,300.0,250.0,31
20.0,300.0,400.0,350.0,17
20.0,400.0,500.0,450.0,26
20.0,500.0,600.0,550.0,20
20.0,600.0,700.0,650.0,28
20.0,700.0,800.0,750.0,28
20.0,800.0,900.0,850.0,30
20.0,900.0,1000.0,950.0,33
20.0,1000.0,1100.0,1050.0,23
20.0,1100.0,1200.0,1150.0,28
20.0,1200.0,1300.0,1250.0,25
20.0,1300.0,1400.0,1350.0,21
20.0,1400.0,1500.0,1450.0,19
20.0,1500.0,1600.0,1550.0,27
20.0,1600.0,1700.0,1650.0,25
20.0,1700.0,1800.0,1750.0,27
20.0,1800.0,1900.0,1850.0,21
20.0,1900.0,2000.0,1950.0,22
30.0,0.0,100.0,50.0,29
30.0,100.0,200.0,150.0,22
30.0,200.0,300.0,250.0,25
30.0,300.0,400.0,350.0,22
30.0,400.0,500.0,450.0,22
30.0,500.0,600.0,550.0,22
30.0,600.0,700.0,650.0,29
30.0,700.0,800.0,750.0,31
30.0,800.0,900.0,850.0,24
30.0,900.0,1000.0,950.0,31
30.0,1000.0,1100.0,1050.0,30
30.0,1100.0,1200.0,1150.0,29
30.0,1200.0,1300.0,1250.0,23
30.0,1300.0,1400.0,1350.0,18
30.0,1400.0,1500.0,1450.0,26
30.0,1500.0,1600.0,1550.0,25
30.0,1600.0,1700.0,1650.0,30
30.0,1700.0,1800.0,1750.0,27
30.0,1800.0,1900.0,1850.0,17
30.0,1900.0,2000.0,1950.0,18
40.0,0.0,100.0,50.0,24
40.0,100.0,200.0,150.0,35
40.0,200.0,300.0,250.0,16
40.0,300.0,400.0,350.0,27
40.0,400.0,500.0,450.0,17
40.0,500.0,600.0,550.0,25
40.0,600.0,700.0,650.0,29
40.0,700.0,800.0,750.0,36
40.0,800.0,900.0,850.0,29
40.0,900.0,1000.0,950.0,24
40.0,1000.0,1100.0,1050.0,20
40.0,1100.0,1200.0,1150.0,28
40.0,1200.0,1300.0,1250.0,24
40.0,1300.0,1400.0,1350.0,20
40.0,1400.0,1500.0,1450.0,27
40.0,1500.0,1600.0,1550.0,34
40.0,1600.0,1700.0,1650.0,25
40.0,1700.0,1800.0,1750.0,15
40.0,1800.0,1900.0,1850.0,25
40.0,1900.0,2000.0,1950.0,20
50.0,0.0,100.0,50.0,31
50.0,100.0,200.0,150.0,25
50.0,200.0,300.0,250.0,21
50.0,300.0,400.0,350.0,24
50.0,400.0,500.0,450.0,21
50.0,500.0,600.0,550.0,28
50.0,600.0,700.0,650.0,24
50.0,700.0,800.0,750.0,36
50.0,800.0,900.0,850.0,32
50.0,900.0,1000.0,950.0,18
50.0,1000.0,1100.0,1050.0,19
50.0,1100.0,1200.0,1150.0,30
50.0,1200.0,1300.0,1250.0,23
50.0,1300.0,1400.0,1350.0,25
50.0,1400.0,1500.0,1450.0,32
50.0,1500.0,1600.0,1550.0,23
50.0,1600.0,1700.0,1650.0,29
50.0,1700.0,1800.0,1750.0,19
50.0,1800.0,1900.0,1850.0,12
50.0,1900.0,2000.0,1950.0,28
60.0,0.0,100.0,50.0,25
60.0,100.0,200.0,150.0,23
60.0,200.0,300.0,250.0,27
60.0,300.0,400.0,350.0,24
60.0,400.0,500.0,450.0,32
60.0,500.0,600.0,550.0,30
60.0,600.0,700.0,650.0,26
60.0,700.0,800.0,750.0,27
60.0,800.0,900.0,850.0,24
60.0,900.0,1000.0,950.0,24
60.0,1000.0,1100.0,1050.0,24
60.0,1100.0,1200.0,1150.0,28
60.0,1200.0,1300.0,1250.0,21
60.0,1300.0,1400.0,1350.0,31
60.0,1400.0,1500.0,1450.0,26
60.0,1500.0,1600.0,1550.0,19
60.0,1600.0,1700.0,1650.0,25
60.0,1700.0,1800.0,1750.0,23
60.0,1800.0,1900.0,1850.0,25
60.0,1900.0,2000.0,1950.0,16
70.0,0.0,100.0,50.0,27
70.0,100.0,200.0,150.0,28
70.0,200.0,300.0,250.0,18
70.0,300.0,400.0,350.0,26
70.0,400.0,500.0,450.0,32
70.0,500.0,600.0,550.0,28
70.0,600.0,700.0,650.0,27
70.0,700.0,800.0,750.0,25
70.0,800.0,900.0,850.0,31
70.0,900.0,1000.0,950.0,21
70.0,1000.0,1100.0,1050.0,24
70.0,1100.0,1200.0,1150.0,28
70.0,1200.0,1300.0,1250.0,29
70.0,1300.0,1400.0,1350.0,18
70.0,1400.0,1500.0,1450.0,24
70.0,1500.0,1600.0,1550.0,27
70.0,1600.0,1700.0,1650.0,21
70.0,1700.0,1800.0,1750.0,27
70.0,1800.0,1900.0,1850.0,18
70.0,1900.0,2000.0,1950.0,21
80.0,0.0,100.0,50.0,33
80.0,100.0,200.0,150.0,29
80.0,200.0,300.0,250.0,18
80.0,300.0,400.0,350.0,20
80.0,400.0,500.0,450.0,31
80.0,500.0,600.0,550.0,21
80.0,600.0,700.0,650.0,38
80.0,700.0,800.0,750.0,21
80.0,800.0,900.0,850.0,27
80.0,900.0,1000.0,950.0,34
80.0,1000.0,1100.0,1050.0,18
80.0,1100.0,1200.0,1150.0,20
80.0,1200.0,1300.0,1250.0,30
80.0,1300.0,1400.0,1350.0,21
80.0,1400.0,1500.0,1450.0,28
80.0,1500.0,1600.0,1550.0,21
80.0,1600.0,1700.0,1650.0,30
80.0,1700.0,1800.0,1750.0,32
80.0,1800.0,1900.0,1850.0,11
80.0,1900.0,2000.0,1950.0,17
90.0,0.0,100.0,50.0,38
90.0,100.0,200.0,150.0,27
90.0,200.0,300.0,250.0,22
90.0,300.0,400.0,350.0,18
90.0,400.0,500.0,450.0,31
90.0,500.0,600.0,550.0,26
90.0,600.0,700.0,650.0,26
90.0,700.0,800.0,750.0,30
90.0,800.0,900.0,850.0,24
90.0,900.0,1000.0,950.0,24
90.0,1000.0,1100.0,1050.0,23
90.0,1100.0,1200.0,1150.0,29
90.0,1200.0,1300.0,1250.0,24
90.0,1300.0,1400.0,1350.0,21
90.0,1400.0,1500.0,1450.0,26
90.0,1500.0,1600.0,1550.0,24
90.0,1600.0,1700.0,1650.0,34
90.0,1700.0,1800.0,1750.0,23
90.0,1800.0,1900.0,1850.0,13
90.0,1900.0,2000.0,1950.0,17
100.0,0.0,100.0,50.0,30
100.0,100.0,200.0,150.0,34
100.0,200.0,300.0,250.0,27
100.0,300.0,400.0,350.0,25
100.0,400.0,500.0,450.0,27
100.0,500.0,600.0,550.0,25
100.0,600.0,700.0,650.0,24
100.0,700.0,800.0,750.0,18
100.0,800.0,900.0,850.0,23
100.0,900.0,1000.0,950.0,30
100.0,1000.0,1100.0,1050.0,29
100.0,1100.0,1200.0,1150.0,24
100.0,1200.0,1300.0,1250.0,24
100.0,1300.0,1400.0,1350.0,28
100.0,1400.0,1500.0,1450.0,27
100.0,1500.0,1600.0,1550.0,24
100.0,1600.0,1700.0,1650.0,26
100.0,1700.0,1800.0,1750.0,24
100.0,1800.0,1900.0,1850.0,17
100.0,1900.0,2000.0,1950.0,14
110.0,0.0,100.0,50.0,32
110.0,100.0,200.0,150.0,25
110.0,200.0,300.0,250.0,35
110.0,300.0,400.0,350.0,31
110.0,400.0,500.0,450.0,26
110.0,500.0,600.0,550.0,24
110.0,600.0,700.0,650.0,20
110.0,700.0,800.0,750.0,27
110.0,800.0,900.0,850.0,21
110.0,900.0,1000.0,950.0,25
110.0,1000.0,1100.0,1050.0,18
110.0,1100.0,1200.0,1150.0,37
110.0,1200.0,1300.0,1250.0,15
110.0,1300.0,1400.0,1350.0,28
110.0,1400.0,1500.0,1450.0,28
110.0,1500.0,1600.0,1550.0,28
110.0,1600.0,1700.0,1650.0,30
110.0,1700.0,1800.0,1750.0,14
110.0,1800.0,1900.0,1850.0,18
110.0,1900.0,2000.0,1950.0,18
120.0,0.0,100.0,50.0,29
120.0,100.0,200.0,150.0,23
120.0,200.0,300.0,250.0,37
120.0,300.0,400.0,350.0,27
120.0,400.0,500.0,450.0,29
120.0,500.0,600.0,550.0,33
120.0,600.0,700.0,650.0,23
120.0,700.0,800.0,750.0,23
120.0,800.0,900.0,850.0,16
120.0,900.0,1000.0,950.0,30
120.0,1000.0,1100.0,1050.0,29
120.0,1100.0,1200.0,1150.0,18
120.0,1200.0,1300.0,1250.0,19
120.0,1300.0,1400.0,1350.0,28
120.0,1400.0,1500.0,1450.0,25
120.0,1500.0,1600.0,1550.0,27
120.0,1600.0,1700.0,1650.0,25
120.0,1700.0,1800.0,1750.0,24
120.0,1800.0,1900.0,1850.0,17
120.0,1900.0,2000.0,1950.0,18
130.0,0.0,100.0,50.0,31
130.0,100.0,200.0,150.0,28
130.0,200.0,300.0,250.0,18
130.0,300.0,400.0,350.0,36
130.0,400.0,500.0,450.0,33
130.0,500.0,600.0,550.0,26
130.0,600.0,700.0,650.0,29
130.0,700.0,800.0,750.0,23
130.0,800.0,900.0,850.0,26
130.0,900.0,1000.0,950.0,15
130.0,1000.0,1100.0,1050.0,30
130.0,1100.0,1200.0,1150.0,27
130.0,1200.0,1300.0,1250.0,15
130.0,1300.0,1400.0,1350.0,26
130.0,1400.0,1500.0,1450.0,25
130.0,1500.0,1600.0,1550.0,29
130.0,1600.0,1700.0,1650.0,19
130.0,1700.0,1800.0,1750.0,21
130.0,1800.0,1900.0,1850.0,20
130.0,1900.0,2000.0,1950.0,23
140.0,0.0,100.0,50.0,25
140.0,100.0,200.0,150.0,31
140.0,200.0,300.0,250.0,26
140.0,300.0,400.0,350.0,30
140.0,400.0,500.0,450.0,30
140.0,500.0,600.0,550.0,27
140.0,600.0,700.0,650.0,24
140.0,700.0,800.0,750.0,24
140.0,800.0,900.0,850.0,27
140.0,900.0,1000.0,950.0,29
140.0,1000.0,1100.0,1050.0,20
140.0,1100.0,1200.0,1150.0,31
140.0,1200.0,1300.0,1250.0,16
140.0,1300.0,1400.0,1350.0,20
140.0,1400.0,1500.0,1450.0,25
140.0,1500.0,1600.0,1550.0,27
140.0,1600.0,1700.0,1650.0,25
140.0,1700.0,1800.0,1750.0,15
140.0,1800.0,1900.0,1850.0,28
140.0,1900.0,2000.0,1950.0,20
150.0,0.0,100.0,50.0,24
150.0,100.0,200.0,150.0,25
