time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
60.0,300.0,500.0,399.99999999999994,26,517315590.2911194,5.0259455713230094e-08
60.0,500.0,750.0,625.0,109,1447750614.5292964,7.528920996896894e-08
60.0,750.0,1000.0,875.0,166,2704387675.965212,6.13817321663225e-08
70.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
70.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
70.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
70.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
70.0,200.0,300.0,250.0,4,114144533.08042914,3.5043290222068704e-08
70.0,300.0,500.0,399.99999999999994,33,517315590.2911194,6.379084763602282e-08
70.0,500.0,750.0,625.0,105,1447750614.5292964,7.252630318111686e-08
70.0,750.0,1000.0,875.0,152,2704387675.965212,5.620495957398205e-08
80.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
80.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
80.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
80.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
80.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
80.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
80.0,500.0,750.0,625.0,92,1447750614.5292964,6.354685612059763e-08
80.0,750.0,1000.0,875.0,165,2704387675.965212,6.101196269544105e-08
90.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
90.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
90.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
90.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
90.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
90.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
90.0,500.0,750.0,625.0,97,1447750614.5292964,6.700048960541271e-08
90.0,750.0,1000.0,875.0,162,2704387675.965212,5.990265428279666e-08
100.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
100.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
100.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
100.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
100.0,200.0,300.0,250.0,3,114144533.08042914,2.6282467666551528e-08
100.0,300.0,500.0,399.99999999999994,32,517315590.2911194,6.185779164705242e-08
100.0,500.0,750.0,625.0,92,1447750614.5292964,6.354685612059763e-08
100.0,750.0,1000.0,875.0,167,2704387675.965212,6.175150163720396e-08
110.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
110.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
110.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
110.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
110.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
110.0,300.0,500.0,399.99999999999994,29,517315590.2911194,5.605862368014126e-08
110.0,500.0,750.0,625.0,93,1447750614.5292964,6.423758281756065e-08
110.0,750.0,1000.0,875.0,169,2704387675.965212,6.249104057896688e-08
120.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
120.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
120.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
120.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
120.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
120.0,300.0,500.0,399.99999999999994,24,517315590.2911194,4.639334373528932e-08
120.0,500.0,750.0,625.0,93,1447750614.5292964,6.423758281756065e-08
120.0,750.0,1000.0,875.0,183,2704387675.965212,6.766781317130734e-08
130.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
130.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
130.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
130.0,150.0,200.0,175.0,5,31939525.311496243,1.565458456641593e-07
130.0,200.0,300.0,250.0,3,114144533.08042914,2.6282467666551528e-08
130.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
130.0,500.0,750.0,625.0,92,1447750614.5292964,6.354685612059763e-08
130.0,750.0,1000.0,875.0,182,2704387675.965212,6.729804370042587e-08
140.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
140.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
140.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
140.0,150.0,200.0,175.0,3,31939525.311496243,9.392750739849557e-08
140.0,200.0,300.0,250.0,1,114144533.08042914,8.760822555517176e-09
140.0,300.0,500.0,399.99999999999994,30,517315590.2911194,5.7991679669111646e-08
140.0,500.0,750.0,625.0,100,1447750614.5292964,6.907266969630177e-08
140.0,750.0,1000.0,875.0,176,2704387675.965212,6.507942687513711e-08
150.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
150.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
150.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
150.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
150.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
150.0,300.0,500.0,399.99999999999994,30,517315590.2911194,5.7991679669111646e-08
150.0,500.0,750.0,625.0,94,1447750614.5292964,6.492830951452367e-08
150.0,750.0,1000.0,875.0,186,2704387675.965212,6.877712158395172e-08
160.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
160.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
160.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
160.0,150.0,200.0,175.0,5,31939525.311496243,1.565458456641593e-07
160.0,200.0,300.0,250.0,4,114144533.08042914,3.5043290222068704e-08
160.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
160.0,500.0,750.0,625.0,92,1447750614.5292964,6.354685612059763e-08
160.0,750.0,1000.0,875.0,177,2704387675.965212,6.544919634601857e-08
170.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
170.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
170.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
170.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
170.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
170.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
170.0,500.0,750.0,625.0,97,1447750614.5292964,6.700048960541271e-08
170.0,750.0,1000.0,875.0,174,2704387675.965212,6.433988793337418e-08
180.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
180.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
180.0,100.00000000000001,150.0,125.0,3,19373154.697137043,1.5485345814346585e-07
180.0,150.0,200.0,175.0,0,31939525.311496243,0.0
180.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
180.0,300.0,500.0,399.99999999999994,33,517315590.2911194,6.379084763602282e-08
180.0,500.0,750.0,625.0,87,1447750614.5292964,6.009322263578254e-08
180.0,750.0,1000.0,875.0,174,2704387675.965212,6.433988793337418e-08
190.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
190.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
190.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
190.0,150.0,200.0,175.0,0,31939525.311496243,0.0
190.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
190.0,300.0,500.0,399.99999999999994,28,517315590.2911194,5.412556769117087e-08
190.0,500.0,750.0,625.0,91,1447750614.5292964,6.285612942363462e-08
190.0,750.0,1000.0,875.0,164,2704387675.965212,6.064219322455958e-08
200.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
200.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
200.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
200.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
200.0,200.0,300.0,250.0,2,114144533.08042914,1.7521645111034352e-08
200.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
200.0,500.0,750.0,625.0,85,1447750614.5292964,5.8711769241856506e-08
200.0,750.0,1000.0,875.0,171,2704387675.965212,6.323057952072981e-08
210.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
210.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
210.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
210.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
210.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
210.0,300.0,500.0,399.99999999999994,31,517315590.2911194,5.992473565808203e-08
210.0,500.0,750.0,625.0,80,1447750614.5292964,5.525813575704142e-08
210.0,750.0,1000.0,875.0,168,2704387675.965212,6.212127110808542e-08
220.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
220.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
220.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
220.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
220.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
220.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
220.0,500.0,750.0,625.0,79,1447750614.5292964,5.45674090600784e-08
220.0,750.0,1000.0,875.0,155,2704387675.965212,5.7314267986626434e-08
230.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
230.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
230.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
230.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
230.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
230.0,300.0,500.0,399.99999999999994,28,517315590.2911194,5.412556769117087e-08
230.0,500.0,750.0,625.0,92,1447750614.5292964,6.354685612059763e-08
230.0,750.0,1000.0,875.0,160,2704387675.965212,5.9163115341033734e-08
240.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
240.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
240.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
240.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
240.0,200.0,300.0,250.0,3,114144533.08042914,2.6282467666551528e-08
240.0,300.0,500.0,399.99999999999994,35,517315590.2911194,6.765695961396359e-08
