time_s,z_low_um,z_high_um,z_mid_um,count
0.0,0.0,100.0,50.0,29
0.0,100.0,200.0,150.0,27
0.0,200.0,300.0,250.0,19
0.0,300.0,400.0,350.0,33
0.0,400.0,500.0,450.0,31
0.0,500.0,600.0,550.0,23
0.0,600.0,700.0,650.0,27
0.0,700.0,800.0,750.0,23
0.0,800.0,900.0,850.0,28
0.0,900.0,1000.0,950.0,20
0.0,1000.0,1100.0,1050.0,23
0.0,1100.0,1200.0,1150.0,19
0.0,1200.0,1300.0,1250.0,32
0.0,1300.0,1400.0,1350.0,26
0.0,1400.0,1500.0,1450.0,29
0.0,1500.0,1600.0,1550.0,21
0.0,1600.0,1700.0,1650.0,19
0.0,1700.0,1800.0,1750.0,27
0.0,1800.0,1900.0,1850.0,22
0.0,1900.0,2000.0,1950.0,22
10.0,0.0,100.0,50.0,27
10.0,100.0,200.0,150.0,28
10.0,200.0,300.0,250.0,23
10.0,300.0,400.0,350.0,24
10.0,400.0,500.0,450.0,30
10.0,500.0,600.0,550.0,33
10.0,600.0,700.0,650.0,23
10.0,700.0,800.0,750.0,25
10.0,800.0,900.0,850.0,25
10.0,900.0,1000.0,950.0,22
10.0,1000.0,1100.0,1050.0,25
10.0,1100.0,1200.0,1150.0,30
10.0,1200.0,1300.0,1250.0,25
10.0,1300.0,1400.0,1350.0,22
10.0,1400.0,1500.0,1450.0,28
10.0,1500.0,1600.0,1550.0,25
10.0,1600.0,1700.0,1650.0,17
10.0,1700.0,1800.0,1750.0,23
10.0,1800.0,1900.0,1850.0,26
10.0,1900.0,2000.0,1950.0,19
20.0,0.0,100.0,50.0,19
20.0,100.0,200.0,150.0,21
20.0,200.0,300.0,250.0,32
20.0,300.0,400.0,350.0,30
20.0,400.0,500.0,450.0,28
20.0,500.0,600.0,550.0,28
20.0,600.0,700.0,650.0,30
20.0,700.0,800.0,750.0,27
20.0,800.0,900.0,850.0,23
20.0,900.0,1000.0,950.0,22
20.0,1000.0,1100.0,1050.0,36
20.0,1100.0,1200.0,1150.0,25
20.0,1200.0,1300.0,1250.0,21
20.0,1300.0,1400.0,1350.0,32
20.0,1400.0,1500.0,1450.0,17
20.0,1500.0,1600.0,1550.0,29
20.0,1600.0,1700.0,1650.0,23
20.0,1700.0,1800.0,1750.0,17
20.0,1800.0,1900.0,1850.0,25
20.0,1900.0,2000.0,1950.0,15
30.0,0.0,100.0,50.0,14
30.0,100.0,200.0,150.0,24
30.0,200.0,300.0,250.0,29
30.0,300.0,400.0,350.0,25
30.0,400.0,500.0,450.0,39
30.0,500.0,600.0,550.0,33
30.0,600.0,700.0,650.0,25
30.0,700.0,800.0,750.0,19
30.0,800.0,900.0,850.0,21
30.0,900.0,1000.0,950.0,39
30.0,1000.0,1100.0,1050.0,26
30.0,1100.0,1200.0,1150.0,25
30.0,1200.0,1300.0,1250.0,28
30.0,1300.0,1400.0,1350.0,24
30.0,1400.0,1500.0,1450.0,28
30.0,1500.0,1600.0,1550.0,21
30.0,1600.0,1700.0,1650.0,29
30.0,1700.0,1800.0,1750.0,23
30.0,1800.0,1900.0,1850.0,16
30.0,1900.0,2000.0,1950.0,12
40.0,0.0,100.0,50.0,18
40.0,100.0,200.0,150.0,24
40.0,200.0,300.0,250.0,22
40.0,300.0,400.0,350.0,28
40.0,400.0,500.0,450.0,40
40.0,500.0,600.0,550.0,28
40.0,600.0,700.0,650.0,23
40.0,700.0,800.0,750.0,25
40.0,800.0,900.0,850.0,28
40.0,900.0,1000.0,950.0,21
40.0,1000.0,1100.0,1050.0,36
40.0,1100.0,1200.0,1150.0,30
40.0,1200.0,1300.0,1250.0,25
40.0,1300.0,1400.0,1350.0,27
40.0,1400.0,1500.0,1450.0,19
40.0,1500.0,1600.0,1550.0,37
40.0,1600.0,1700.0,1650.0,20
40.0,1700.0,1800.0,1750.0,23
40.0,1800.0,1900.0,1850.0,14
40.0,1900.0,2000.0,1950.0,12
50.0,0.0,100.0,50.0,16
50.0,100.0,200.0,150.0,17
50.0,200.0,300.0,250.0,30
50.0,300.0,400.0,350.0,34
50.0,400.0,500.0,450.0,28
50.0,500.0,600.0,550.0,33
50.0,600.0,700.0,650.0,28
50.0,700.0,800.0,750.0,27
50.0,800.0,900.0,850.0,18
50.0,900.0,1000.0,950.0,32
50.0,1000.0,1100.0,1050.0,30
50.0,1100.0,1200.0,1150.0,29
50.0,1200.0,1300.0,1250.0,26
50.0,1300.0,1400.0,1350.0,26
50.0,1400.0,1500.0,1450.0,23
50.0,1500.0,1600.0,1550.0,28
50.0,1600.0,1700.0,1650.0,23
50.0,1700.0,1800.0,1750.0,21
50.0,1800.0,1900.0,1850.0,18
50.0,1900.0,2000.0,1950.0,13
60.0,0.0,100.0,50.0,19
60.0,100.0,200.0,150.0,20
60.0,200.0,300.0,250.0,34
60.0,300.0,400.0,350.0,25
60.0,400.0,500.0,450.0,28
60.0,500.0,600.0,550.0,31
60.0,600.0,700.0,650.0,26
60.0,700.0,800.0,750.0,31
60.0,800.0,900.0,850.0,29
60.0,900.0,1000.0,950.0,26
60.0,1000.0,1100.0,1050.0,24
60.0,1100.0,1200.0,1150.0,24
60.0,1200.0,1300.0,1250.0,26
60.0,1300.0,1400.0,1350.0,29
60.0,1400.0,1500.0,1450.0,23
60.0,1500.0,1600.0,1550.0,27
60.0,1600.0,1700.0,1650.0,24
60.0,1700.0,1800.0,1750.0,21
60.0,1800.0,1900.0,1850.0,20
60.0,1900.0,2000.0,1950.0,13
70.0,0.0,100.0,50.0,27
70.0,100.0,200.0,150.0,21
70.0,200.0,300.0,250.0,23
70.0,300.0,400.0,350.0,29
70.0,400.0,500.0,450.0,24
70.0,500.0,600.0,550.0,27
70.0,600.0,700.0,650.0,32
70.0,700.0,800.0,750.0,32
70.0,800.0,900.0,850.0,25
70.0,900.0,1000.0,950.0,26
70.0,1000.0,1100.0,1050.0,29
70.0,1100.0,1200.0,1150.0,22
70.0,1200.0,1300.0,1250.0,24
70.0,1300.0,1400.0,1350.0,26
70.0,1400.0,1500.0,1450.0,35
70.0,1500.0,1600.0,1550.0,22
70.0,1600.0,1700.0,1650.0,24
70.0,1700.0,1800.0,1750.0,17
70.0,1800.0,1900.0,1850.0,19
70.0,1900.0,2000.0,1950.0,16
80.0,0.0,100.0,50.0,26
80.0,100.0,200.0,150.0,21
80.0,200.0,300.0,250.0,24
80.0,300.0,400.0,350.0,33
80.0,400.0,500.0,450.0,18
80.0,500.0,600.0,550.0,30
80.0,600.0,700.0,650.0,30
80.0,700.0,800.0,750.0,29
80.0,800.0,900.0,850.0,28
80.0,900.0,1000.0,950.0,23
80.0,1000.0,1100.0,1050.0,31
80.0,1100.0,1200.0,1150.0,24
80.0,1200.0,1300.0,1250.0,26
80.0,1300.0,1400.0,1350.0,35
80.0,1400.0,1500.0,1450.0,23
80.0,1500.0,1600.0,1550.0,23
80.0,1600.0,1700.0,1650.0,22
80.0,1700.0,1800.0,1750.0,16
80.0,1800.0,1900.0,1850.0,16
80.0,1900.0,2000.0,1950.0,22
90.0,0.0,100.0,50.0,27
90.0,100.0,200.0,150.0,21
90.0,200.0,300.0,250.0,29
90.0,300.0,400.0,350.0,23
90.0,400.0,500.0,450.0,26
90.0,500.0,600.0,550.0,18
90.0,600.0,700.0,650.0,31
90.0,700.0,800.0,750.0,31
90.0,800.0,900.0,850.0,23
90.0,900.0,1000.0,950.0,32
90.0,1000.0,1100.0,1050.0,38
90.0,1100.0,1200.0,1150.0,28
90.0,1200.0,1300.0,1250.0,28
90.0,1300.0,1400.0,1350.0,17
90.0,1400.0,1500.0,1450.0,34
90.0,1500.0,1600.0,1550.0,18
90.0,1600.0,1700.0,1650.0,18
90.0,1700.0,1800.0,1750.0,23
90.0,1800.0,1900.0,1850.0,23
90.0,1900.0,2000.0,1950.0,12
100.0,0.0,100.0,50.0,23
100.0,100.0,200.0,150.0,23
