time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
0.0,0.0,500,500,0,4,0.008,0.0037315171042991957,0.0014201720298999963,0.21443699729214488,0.35,964.1434869375508,992.7226026302343,0.0005622453169356819,993.5657715454372,1001.0877667188606,1029.0524425280032,575.9490068458896,2.988481161340618e-16
10.0,0.16666666666666666,500,493,7,6,0.012,0.21527100558377565,0.230124499782247,0.3190016624979386,0.6736559614261659,965.4121343026302,996.1210710175824,0.0004779794885515881,996.0712378663944,993.8824947299922,1021.9105312283205,575.3776838277493,5.74211575049629e-14
20.0,0.3333333333333333,500,483,17,6,0.012,0.34658601547068496,0.2054516760510579,0.3458415018206072,0.6948984040977143,945.6509372282054,966.3395558541348,0.0004699766186251978,994.6569612686741,994.3760671140154,1020.0671790345996,565.128363731155,1.1475974878280533e-13
30.0,0.5,500,480,20,7,0.014,0.3620828234180739,0.1960727314109334,0.35001173598091717,0.7026256204586807,916.4223065920482,931.2052139560041,0.000487104421408438,996.009153902525,989.5420618858534,1024.055154466068,553.13894577126,1.7311695162021602e-13
40.0,0.6666666666666666,500,489,11,6,0.012,0.36036634028952064,0.17835719492739388,0.34953336203676916,0.700715507891763,891.994474692868,888.2315102206251,0.0004947272487060922,1002.1133584065198,985.0572101391228,1018.0012842824341,541.1214766240425,2.3086319333779684e-13
50.0,0.8333333333333334,500,486,14,4,0.008,0.3588693376493682,0.17479902058369112,0.34953347723823347,0.7029356505320257,867.9488369509461,876.376009622137,0.0004942985800193742,999.9775650496321,979.6328822180803,1016.5851680319063,526.8072434803668,2.890042738153869e-13
60.0,1.0,500,489,11,9,0.018,0.3587704880353271,0.16779472310415167,0.349586380382385,0.7058937433251583,841.4411605813721,849.990180953729,0.0005205269291765668,996.3390687302317,976.586750256966,1017.3466353062458,507.6543116043176,3.472169773967705e-13
70.0,1.1666666666666667,500,489,11,12,0.024,0.3641022302909405,0.17010518106632247,0.35052956825607395,0.7084447880701575,821.6336982730905,829.0211486517071,0.0005471061204514562,990.4337822806226,980.946779445025,1020.3159707503676,491.9072347558094,4.0520283408487544e-13
80.0,1.3333333333333333,500,489,11,8,0.016,0.3516338845073524,0.15782941119361094,0.34816377869129744,0.7084508341488078,803.6851883191918,795.5883227339609,0.0005357393641861965,984.3283980305642,978.3617717589251,1023.1319290654255,474.80645275137925,4.632999618246123e-13
90.0,1.5,500,486,14,10,0.02,0.3529385368273244,0.16050132563114777,0.34849427036855807,0.7148403868829535,785.2704496744341,793.8368522247914,0.0005473494022461469,977.6619874581024,970.2517064259908,1024.1407336899144,460.5894185878963,5.219396414450907e-13
