time_s,z_low_um,z_high_um,z_mid_um,count
80.0,200.0,300.0,250.0,27
80.0,300.0,400.0,350.0,23
80.0,400.0,500.0,450.0,27
80.0,500.0,600.0,550.0,30
80.0,600.0,700.0,650.0,24
80.0,700.0,800.0,750.0,18
80.0,800.0,900.0,850.0,17
80.0,900.0,1000.0,950.0,16
80.0,1000.0,1100.0,1050.0,26
80.0,1100.0,1200.0,1150.0,28
80.0,1200.0,1300.0,1250.0,17
80.0,1300.0,1400.0,1350.0,23
80.0,1400.0,1500.0,1450.0,34
80.0,1500.0,1600.0,1550.0,29
80.0,1600.0,1700.0,1650.0,28
80.0,1700.0,1800.0,1750.0,21
80.0,1800.0,1900.0,1850.0,28
80.0,1900.0,2000.0,1950.0,21
90.0,0.0,100.0,50.0,27
90.0,100.0,200.0,150.0,32
90.0,200.0,300.0,250.0,35
90.0,300.0,400.0,350.0,25
90.0,400.0,500.0,450.0,19
90.0,500.0,600.0,550.0,32
90.0,600.0,700.0,650.0,20
90.0,700.0,800.0,750.0,23
90.0,800.0,900.0,850.0,17
90.0,900.0,1000.0,950.0,16
90.0,1000.0,1100.0,1050.0,28
90.0,1100.0,1200.0,1150.0,18
90.0,1200.0,1300.0,1250.0,31
90.0,1300.0,1400.0,1350.0,28
90.0,1400.0,1500.0,1450.0,24
90.0,1500.0,1600.0,1550.0,31
90.0,1600.0,1700.0,1650.0,24
90.0,1700.0,1800.0,1750.0,22
90.0,1800.0,1900.0,1850.0,25
90.0,1900.0,2000.0,1950.0,23
100.0,0.0,100.0,50.0,26
100.0,100.0,200.0,150.0,28
100.0,200.0,300.0,250.0,36
100.0,300.0,400.0,350.0,26
100.0,400.0,500.0,450.0,21
100.0,500.0,600.0,550.0,20
100.0,600.0,700.0,650.0,27
100.0,700.0,800.0,750.0,26
100.0,800.0,900.0,850.0,22
100.0,900.0,1000.0,950.0,22
100.0,1000.0,1100.0,1050.0,21
100.0,1100.0,1200.0,1150.0,25
100.0,1200.0,1300.0,1250.0,29
100.0,1300.0,1400.0,1350.0,25
100.0,1400.0,1500.0,1450.0,19
100.0,1500.0,1600.0,1550.0,34
100.0,1600.0,1700.0,1650.0,24
100.0,1700.0,1800.0,1750.0,20
100.0,1800.0,1900.0,1850.0,24
100.0,1900.0,2000.0,1950.0,25
110.0,0.0,100.0,50.0,26
110.0,100.0,200.0,150.0,26
110.0,200.0,300.0,250.0,35
110.0,300.0,400.0,350.0,25
110.0,400.0,500.0,450.0,17
110.0,500.0,600.0,550.0,21
110.0,600.0,700.0,650.0,29
110.0,700.0,800.0,750.0,31
110.0,800.0,900.0,850.0,28
110.0,900.0,1000.0,950.0,20
110.0,1000.0,1100.0,1050.0,21
110.0,1100.0,1200.0,1150.0,22
110.0,1200.0,1300.0,1250.0,23
110.0,1300.0,1400.0,1350.0,29
110.0,1400.0,1500.0,1450.0,22
110.0,1500.0,1600.0,1550.0,38
110.0,1600.0,1700.0,1650.0,18
110.0,1700.0,1800.0,1750.0,25
110.0,1800.0,1900.0,1850.0,21
110.0,1900.0,2000.0,1950.0,23
120.0,0.0,100.0,50.0,25
120.0,100.0,200.0,150.0,26
120.0,200.0,300.0,250.0,27
120.0,300.0,400.0,350.0,32
120.0,400.0,500.0,450.0,20
120.0,500.0,600.0,550.0,25
120.0,600.0,700.0,650.0,21
120.0,700.0,800.0,750.0,28
120.0,800.0,900.0,850.0,30
120.0,900.0,1000.0,950.0,24
120.0,1000.0,1100.0,1050.0,28
120.0,1100.0,1200.0,1150.0,14
120.0,1200.0,1300.0,1250.0,16
120.0,1300.0,1400.0,1350.0,25
120.0,1400.0,1500.0,1450.0,32
120.0,1500.0,1600.0,1550.0,28
120.0,1600.0,1700.0,1650.0,34
120.0,1700.0,1800.0,1750.0,25
120.0,1800.0,1900.0,1850.0,16
120.0,1900.0,2000.0,1950.0,24
130.0,0.0,100.0,50.0,27
130.0,100.0,200.0,150.0,22
130.0,200.0,300.0,250.0,33
130.0,300.0,400.0,350.0,21
130.0,400.0,500.0,450.0,30
130.0,500.0,600.0,550.0,28
130.0,600.0,700.0,650.0,18
130.0,700.0,800.0,750.0,18
130.0,800.0,900.0,850.0,33
130.0,900.0,1000.0,950.0,30
130.0,1000.0,1100.0,1050.0,23
130.0,1100.0,1200.0,1150.0,20
130.0,1200.0,1300.0,1250.0,22
130.0,1300.0,1400.0,1350.0,18
130.0,1400.0,1500.0,1450.0,20
130.0,1500.0,1600.0,1550.0,40
130.0,1600.0,1700.0,1650.0,23
130.0,1700.0,1800.0,1750.0,38
130.0,1800.0,1900.0,1850.0,16
130.0,1900.0,2000.0,1950.0,20
