time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
100.0,1.6666666666666667,500,477,23,20,0.04,0.3630744073102101,0.1490716582099207,0.35031416866437354,0.721095017495278,755.3609986045446,759.7087574614941,0.0006024707996547673,1003.918617058296,982.1514730319699,998.0253224981636,458.0802331664238,5.815749835258818e-13
110.0,1.8333333333333333,500,488,12,28,0.056,0.36367265064301263,0.14679188190761086,0.3505202446642157,0.720740687211266,740.7134518004109,737.838235068875,0.000647449509685881,1014.30149676799,981.4758458168201,995.650298690952,454.28980309261004,6.40273660071419e-13
120.0,2.0,500,489,11,25,0.05,0.35126007066462756,0.15096565180824328,0.34839895910673246,0.7222767764837643,720.7980548054245,718.7216073655968,0.0006571337742285968,1016.5476548884302,986.5960653554446,993.6875867389754,445.53416140810634,6.987741793947055e-13
130.0,2.1666666666666665,500,485,15,30,0.06,0.3496209187415528,0.14819490737610327,0.3482805585185096,0.7252759344395543,703.3552132809479,676.7466663601417,0.0006594427693622074,1010.8766736922129,987.1548738919411,997.5562997955906,438.2873131350283,7.572456102287959e-13
140.0,2.3333333333333335,500,488,12,28,0.056,0.3449543863945358,0.14596835602365268,0.34734849935226564,0.7286253872313653,688.4723840367393,680.7270259812101,0.0006670297682766035,1000.1814687217428,987.1838566446634,998.478200588401,429.91228456168,8.156131632322442e-13
150.0,2.5,500,483,17,28,0.056,0.3545607285566033,0.14618534261243793,0.34909839521627795,0.7345974942087922,672.5290033653583,676.5641247444825,0.0006597673610364214,998.2462636980318,992.4198253869828,1001.24996903674,414.6895629022122,8.743178585661867e-13
160.0,2.6666666666666665,500,476,24,31,0.062,0.354457919061786,0.133025372464613,0.349241402394752,0.7339706567408878,665.4498403906332,676.2048683387793,0.0006768124132199531,993.0312341064583,997.7677014880212,1002.4469899284297,406.0444833900125,9.33274841177899e-13
170.0,2.8333333333333335,500,482,18,36,0.072,0.36349944950435653,0.1483357165835506,0.3505244774902037,0.734948025842213,657.150607771801,656.3179583080158,0.0007382853962812041,997.0041682643492,1001.4350615883882,1010.1199637076867,404.6598044008081,9.923120498656876e-13
180.0,3.0,500,485,15,41,0.082,0.3694192052704487,0.14545281159876797,0.3512799360117629,0.7322892005360504,656.6707584479404,652.2592069845012,0.0006998355052804033,1000.0948468028515,999.6312208829376,1017.1658075617657,404.6805109240958,1.0510984482848652e-12
190.0,3.1666666666666665,500,482,18,36,0.072,0.36139191578668955,0.14600237998984283,0.3502306713661112,0.7319596776262708,651.4756122336491,635.4728680589096,0.0007059292182075448,1004.5860343602219,1006.7219026481181,1024.2724371143654,402.86070869501305,1.1097565018538441e-12
200.0,3.3333333333333335,500,478,22,28,0.056,0.3720277334168866,0.13287093074938106,0.35215830839320755,0.7293334377987539,654.50097924137,628.4037123938033,0.0006639066511632765,999.5190244668339,1003.4480200278769,1032.2730189056545,404.9958728217151,1.1683959757833734e-12
210.0,3.5,500,474,26,35,0.07,0.36253179689805354,0.1401292770775597,0.3503986939329027,0.7256891564107575,653.7852762419636,640.3779150021725,0.0006602721237071987,994.412440254526,990.3475077663863,1035.4782329329043,409.1815943682545,1.2271881666004889e-12
220.0,3.6666666666666665,500,481,19,29,0.058,0.3558685234207891,0.14454262638229023,0.3493547019703101,0.7267874769485463,643.6486362305126,611.996112220042,0.0006639251222154485,992.7290364698802,986.6958088451524,1034.1289010645626,404.13210984883597,1.2859043045238959e-12
230.0,3.8333333333333335,500,487,13,33,0.066,0.3591287756490027,0.13919929034185455,0.34990745157638753,0.7266961217776634,638.3974337324826,600.5562712185819,0.0006506519296124033,997.8678862893561,989.4651705150006,1032.3149881562977,404.84035843005825,1.3443222226371432e-12
240.0,4.0,500,478,22,35,0.07,0.3536593178847428,0.14002495395226142,0.3492158617693123,0.7267149374138041,629.6957504534392,597.5341936200164,0.0006689051421857412,1001.1620046845879,991.1985421589441,1031.3028030326636,404.50263550412575,1.4026149225425492e-12
250.0,4.166666666666667,500,484,16,45,0.09,0.3643285485130591,0.1433626718077565,0.350540219316265,0.7273682363802975,627.1973168201857,609.592646242764,0.0007360861141051056,1001.8466806769773,987.7059715413947,1031.1310034295805,405.7718458703414,1.4613829722126478e-12
260.0,4.333333333333333,500,487,13,44,0.088,0.35621210154840993,0.142018869091669,0.3495745710417944,0.7257285927126923,624.7180148265368,604.1823421058793,0.0006917478176836601,1005.0687378379075,993.8873779487701,1038.2000678212205,406.6491158685791,1.520012591865289e-12
270.0,4.5,500,479,21,41,0.082,0.37165165865218486,0.13823918084629486,0.3518311075461105,0.7259961890606781,624.7631040343642,586.7455134202745,0.0006971584549219558,1010.2697394360094,997.2055876061008,1049.8455909105855,400.42826299281825,1.5785878695022834e-12
280.0,4.666666666666667,500,483,17,43,0.086,0.3702789345431271,0.14312878979365978,0.3517621910282942,0.7204127073793929,632.613975690486,620.5224031381501,0.0006656463600641875,1009.4878618642814,993.8685210964344,1059.059088950888,402.67809739582344,1.6367652281970488e-12
