time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
440.0,7.333333333333333,500,488,12,9,0.018,0.35,0.0,0.35,0.35,936.6428966535304,961.3878675735588,0.00019900804441530385,1018.5807797829757,966.8791940335346,1032.0833282423393,569.9512897927826,2.3736673561471382e-12
450.0,7.5,500,483,17,6,0.012,0.35,0.0,0.35,0.35,931.3223326378252,950.9107962366221,0.0001825652324800972,1020.8769227084658,961.7860897032182,1031.5508512785275,569.4746159281378,2.4270272493385443e-12
460.0,7.666666666666667,500,481,19,3,0.006,0.35,0.0,0.35,0.35,938.4996626978075,956.552135215449,0.00018155969225533154,1021.6015987688314,963.3267490559251,1030.836013110673,568.6974019534789,2.4800073081465045e-12
470.0,7.833333333333333,500,482,18,4,0.008,0.35,0.0,0.35,0.35,941.4282305347932,967.3620867772287,0.00016981103696359816,1020.0877737550888,964.901465971633,1032.2182296392825,570.2255778316628,2.532188492444155e-12
480.0,8.0,500,489,11,3,0.006,0.35,0.0,0.35,0.35,949.1959852456074,970.3117245601522,0.00016128510595194023,1012.8714367589199,964.8985810932203,1028.0262195043401,576.577598294219,2.584622240072441e-12
490.0,8.166666666666666,500,484,16,2,0.004,0.35,0.0,0.35,0.35,953.2545897661194,985.6900899647839,0.0001655450109585946,1006.1919766691193,968.1777541363102,1023.9076136767574,577.5663497411284,2.6368410528337876e-12
500.0,8.333333333333334,500,484,16,3,0.006,0.35,0.0,0.35,0.35,953.5278144009122,969.7807869955594,0.00015302180085513233,1003.9069412452367,964.1982908570519,1028.0105029884148,577.5286817760921,2.68973944109297e-12
510.0,8.5,500,478,22,4,0.008,0.35,0.0,0.35,0.35,962.3001309074801,985.8609314827705,0.0001486096130505654,1000.620154443043,965.8747815080388,1028.9213369031993,575.5000488705756,2.7423059242980524e-12
520.0,8.666666666666666,500,476,24,2,0.004,0.35,0.0,0.35,0.35,968.8809261252946,988.9514313373516,0.0001462206529088708,1002.2245035791296,975.2161534256973,1037.7871581037525,580.0690658342861,2.7938443028098487e-12
530.0,8.833333333333334,500,484,16,2,0.004,0.35,0.0,0.35,0.35,970.610639743726,1000.9825209114234,0.00014283534390918678,1002.0962685590039,976.3678478369795,1037.394036865909,582.2874750598344,2.8455514460883814e-12
540.0,9.0,500,478,22,3,0.006,0.35,0.0,0.35,0.35,964.3288786661197,989.0258107657811,0.0001576585442620222,1006.1223424987769,967.7351977859156,1045.2907018481274,581.805939162711,2.897359502572589e-12
550.0,9.166666666666666,500,488,12,6,0.012,0.35,0.0,0.35,0.35,960.5796787486058,992.5147116933933,0.00015421261986447163,1010.23932223292,971.882166914039,1047.515507188245,575.5803771623333,2.9495397696045612e-12
560.0,9.333333333333334,500,485,15,7,0.014,0.35,0.0,0.35,0.35,965.872555922349,981.8770497704533,0.00016188481636028558,1010.0974383171722,975.1770117848444,1046.2966650621217,573.5295887366502,3.0014096717413374e-12
