time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
110.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
110.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
110.0,150.0,200.0,175.0,5,31939525.311496243,1.565458456641593e-07
110.0,200.0,300.0,250.0,26,114144533.08042914,2.2778138644344657e-07
110.0,300.0,500.0,399.99999999999994,60,517315590.2911194,1.1598335933822329e-07
110.0,500.0,750.0,625.0,127,1447750614.5292964,8.772229051430325e-08
110.0,750.0,1000.0,875.0,147,2704387675.965212,5.4356112219574746e-08
120.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
120.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
120.0,100.00000000000001,150.0,125.0,8,19373154.697137043,4.1294255504924225e-07
120.0,150.0,200.0,175.0,8,31939525.311496243,2.5047335306265485e-07
120.0,200.0,300.0,250.0,19,114144533.08042914,1.6645562855482635e-07
120.0,300.0,500.0,399.99999999999994,70,517315590.2911194,1.3531391922792718e-07
120.0,500.0,750.0,625.0,112,1447750614.5292964,7.736139005985799e-08
120.0,750.0,1000.0,875.0,144,2704387675.965212,5.3246803806930365e-08
130.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
130.0,50.0,100.00000000000001,75.0,4,9948376.73636768,4.020756457058408e-07
130.0,100.00000000000001,150.0,125.0,6,19373154.697137043,3.097069162869317e-07
130.0,150.0,200.0,175.0,7,31939525.311496243,2.19164183929823e-07
130.0,200.0,300.0,250.0,27,114144533.08042914,2.3654220899896375e-07
130.0,300.0,500.0,399.99999999999994,69,517315590.2911194,1.3338086323895678e-07
130.0,500.0,750.0,625.0,112,1447750614.5292964,7.736139005985799e-08
130.0,750.0,1000.0,875.0,131,2704387675.965212,4.843980068547137e-08
140.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
140.0,50.0,100.00000000000001,75.0,7,9948376.73636768,7.036323799852214e-07
140.0,100.00000000000001,150.0,125.0,5,19373154.697137043,2.5808909690577644e-07
140.0,150.0,200.0,175.0,8,31939525.311496243,2.5047335306265485e-07
140.0,200.0,300.0,250.0,29,114144533.08042914,2.5406385410999807e-07
140.0,300.0,500.0,399.99999999999994,59,517315590.2911194,1.140503033492529e-07
140.0,500.0,750.0,625.0,125,1447750614.5292964,8.634083712037722e-08
140.0,750.0,1000.0,875.0,135,2704387675.965212,4.9918878568997214e-08
150.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
150.0,50.0,100.00000000000001,75.0,5,9948376.73636768,5.02594557132301e-07
150.0,100.00000000000001,150.0,125.0,9,19373154.697137043,4.6456037443039756e-07
150.0,150.0,200.0,175.0,7,31939525.311496243,2.19164183929823e-07
150.0,200.0,300.0,250.0,33,114144533.08042914,2.891071443320668e-07
150.0,300.0,500.0,399.99999999999994,57,517315590.2911194,1.1018419137131213e-07
150.0,500.0,750.0,625.0,120,1447750614.5292964,8.288720363556212e-08
150.0,750.0,1000.0,875.0,142,2704387675.965212,5.250726486516744e-08
160.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
160.0,50.0,100.00000000000001,75.0,7,9948376.73636768,7.036323799852214e-07
160.0,100.00000000000001,150.0,125.0,10,19373154.697137043,5.161781938115529e-07
160.0,150.0,200.0,175.0,9,31939525.311496243,2.817825221954867e-07
160.0,200.0,300.0,250.0,23,114144533.08042914,2.0149891877689504e-07
160.0,300.0,500.0,399.99999999999994,59,517315590.2911194,1.140503033492529e-07
160.0,500.0,750.0,625.0,123,1447750614.5292964,8.495938372645118e-08
160.0,750.0,1000.0,875.0,148,2704387675.965212,5.472588169045621e-08
170.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
170.0,50.0,100.00000000000001,75.0,5,9948376.73636768,5.02594557132301e-07
170.0,100.00000000000001,150.0,125.0,9,19373154.697137043,4.6456037443039756e-07
170.0,150.0,200.0,175.0,15,31939525.311496243,4.6963753699247785e-07
170.0,200.0,300.0,250.0,27,114144533.08042914,2.3654220899896375e-07
170.0,300.0,500.0,399.99999999999994,58,517315590.2911194,1.1211724736028252e-07
170.0,500.0,750.0,625.0,127,1447750614.5292964,8.772229051430325e-08
170.0,750.0,1000.0,875.0,132,2704387675.965212,4.880957015635283e-08
180.0,0.0,50.0,25.000000000000004,3,3665191.4291880922,8.18511135901176e-07
180.0,50.0,100.00000000000001,75.0,6,9948376.73636768,6.031134685587612e-07
180.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
180.0,150.0,200.0,175.0,8,31939525.311496243,2.5047335306265485e-07
180.0,200.0,300.0,250.0,43,114144533.08042914,3.7671536988723857e-07
180.0,300.0,500.0,399.99999999999994,68,517315590.2911194,1.314478072499864e-07
180.0,500.0,750.0,625.0,110,1447750614.5292964,7.597993666593195e-08
180.0,750.0,1000.0,875.0,148,2704387675.965212,5.472588169045621e-08
190.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
190.0,50.0,100.00000000000001,75.0,4,9948376.73636768,4.020756457058408e-07
190.0,100.00000000000001,150.0,125.0,8,19373154.697137043,4.1294255504924225e-07
190.0,150.0,200.0,175.0,7,31939525.311496243,2.19164183929823e-07
190.0,200.0,300.0,250.0,35,114144533.08042914,3.0662878944310113e-07
190.0,300.0,500.0,399.99999999999994,76,517315590.2911194,1.469122551617495e-07
190.0,500.0,750.0,625.0,121,1447750614.5292964,8.357793033252514e-08
190.0,750.0,1000.0,875.0,129,2704387675.965212,4.770026174370845e-08
