label,n_near_mean,n_near_std,n_near_max,n_near_final,p_tumble_mean,mean_dist_um,total_consumption
wild_type_1g,33.78888888888889,5.791745936041595,54,38,0.35627955930614336,784.5404503341774,9.835120606624307e-12
no_chemotaxis_1g,4.133333333333334,1.8690461025168248,9,2,0.3500000000000001,963.3928656540454,9.263491496190896e-12
enhanced_1g,62.27777777777778,7.278625904779583,84,62,0.3615276350891798,592.2981971550724,1.0409019484020454e-11
wild_type_0g,34.77777777777778,5.501066114405619,48,36,0.35629848113322604,776.1458407840248,9.895756691346313e-12
no_chemotaxis_0g,3.2888888888888888,1.8150264426873566,9,1,0.3500000000000001,958.7468556992278,9.338181539546472e-12
enhanced_0g,59.68888888888889,5.431685730649667,75,56,0.36228978863346745,586.2674013048254,1.0443484147637042e-11
